a,b,aw,bw,dr
Goat,Jackal,7,2,0
Goat,Hyena,4,5,0
Goat,Myconid Sprout,4,5,0
Goat,Octopus,8,1,0
Goat,Owl,9,0,0
Goat,Quipper,9,0,0
Goat,Rat,9,0,0
Goat,Scorpion,9,0,0
Goat,Raven,9,0,0
Goat,Shrieker,9,0,0
Goat,Sea Horse,9,0,0
Goat,Spider,8,1,0
Hawk,Homunculus,0,9,0
Hawk,Jackal,5,4,0
Hawk,Hyena,1,8,0
Hawk,Lemure,0,9,0
Hawk,Lizard,8,1,0
Hawk,Myconid Sprout,0,9,0
Hawk,Owl,7,2,0
Hawk,Quipper,7,2,0
Hawk,Rat,8,1,0
Hawk,Octopus,5,4,0
Hawk,Scorpion,7,2,0
Hawk,Raven,7,2,0
Hawk,Sea Horse,9,0,0
Hawk,Shrieker,9,0,0
Hawk,Vulture,1,8,0
Homunculus,Lemure,1,8,0
Hawk,Spider,6,3,0
Homunculus,Hyena,3,6,0
Homunculus,Lizard,9,0,0
Homunculus,Jackal,6,3,0
Homunculus,Myconid Sprout,7,2,0
Homunculus,Quipper,8,1,0
Homunculus,Octopus,8,1,0
Homunculus,Rat,9,0,0
Homunculus,Raven,8,1,0
Homunculus,Owl,9,0,0
Homunculus,Scorpion,9,0,0
Homunculus,Sea Horse,9,0,0
Homunculus,Spider,9,0,0
Homunculus,Weasel,7,2,0
Homunculus,Shrieker,9,0,0
Homunculus,Vulture,3,6,0
Hyena,Lizard,9,0,0
Hyena,Lemure,2,7,0
Hyena,Jackal,8,1,0
Hyena,Owl,9,0,0
Hyena,Myconid Sprout,6,3,0
Hyena,Rat,9,0,0
Hyena,Octopus,8,1,0
Hyena,Quipper,8,1,0
Hyena,Raven,9,0,0
Hyena,Scorpion,7,2,0
Hyena,Spider,8,1,0
Hyena,Sea Horse,9,0,0
Hyena,Bandit,1,8,0
Hyena,Weasel,9,0,0
Hyena,Shrieker,9,0,0
Jackal,Lemure,1,8,0
Hyena,Vulture,7,2,0
Jackal,Lizard,7,2,0
Jackal,Quipper,5,4,0
Jackal,Myconid Sprout,0,9,0
Jackal,Owl,7,2,0
Jackal,Octopus,4,5,0
Jackal,Raven,6,3,0
Jackal,Rat,7,2,0
Jackal,Scorpion,6,3,0
Jackal,Sea Horse,9,0,0
Lemure,Myconid Sprout,9,0,0
Jackal,Spider,4,5,0
Jackal,Shrieker,9,0,0
Jackal,Bandit,0,9,0
Lemure,Lizard,9,0,0
Jackal,Weasel,5,4,0
Lemure,Octopus,9,0,0
Jackal,Blood Hawk,0,9,0
Jackal,Vulture,2,7,0
Lemure,Quipper,9,0,0
Lemure,Scorpion,9,0,0
Lemure,Sea Horse,9,0,0
Lemure,Rat,9,0,0
Lemure,Shrieker,9,0,0
Lemure,Owl,9,0,0
Lemure,Spider,9,0,0
Lemure,Raven,9,0,0
Lemure,Vulture,9,0,0
Lemure,Weasel,9,0,0
Lemure,Bandit,2,7,0
Lizard,Octopus,2,7,0
Lizard,Myconid Sprout,0,9,0
Lemure,Blood Hawk,2,7,0
Lizard,Owl,4,5,0
Lizard,Rat,5,4,0
Lizard,Quipper,2,7,0
Lizard,Raven,4,5,0
Lizard,Scorpion,1,8,0
Lizard,Sea Horse,9,0,0
Lizard,Vulture,0,9,0
Lizard,Weasel,3,6,0
Lizard,Shrieker,9,0,0
Lizard,Spider,2,7,0
Lizard,Bandit,0,9,0
Myconid Sprout,Octopus,7,2,0
Lemure,Camel,3,6,0
Lizard,Blood Hawk,0,9,0
Myconid Sprout,Quipper,9,0,0
Myconid Sprout,Scorpion,8,1,0
Myconid Sprout,Sea Horse,9,0,0
Myconid Sprout,Rat,9,0,0
Myconid Sprout,Shrieker,9,0,0
Lizard,Camel,0,9,0
Myconid Sprout,Spider,9,0,0
Myconid Sprout,Raven,9,0,0
Myconid Sprout,Owl,9,0,0
Myconid Sprout,Bandit,3,6,0
Myconid Sprout,Weasel,9,0,0
Octopus,Quipper,6,3,0
Myconid Sprout,Vulture,7,2,0
Octopus,Scorpion,8,1,0
Myconid Sprout,Blood Hawk,3,6,0
Octopus,Rat,7,2,0
Octopus,Sea Horse,9,0,0
Octopus,Shrieker,9,0,0
Octopus,Spider,3,6,0
Octopus,Bandit,0,9,0
Octopus,Weasel,5,4,0
Octopus,Owl,6,3,0
Octopus,Raven,5,4,0
Octopus,Blood Hawk,0,9,0
Octopus,Vulture,2,7,0
Myconid Sprout,Camel,2,7,0
Octopus,Flying Snake,0,9,0
Owl,Quipper,5,4,0
Owl,Raven,5,4,0
Owl,Rat,7,2,0
Owl,Sea Horse,9,0,0
Owl,Shrieker,9,0,0
Owl,Scorpion,6,3,0
Owl,Spider,5,4,0
Owl,Weasel,4,5,0
Owl,Bandit,0,9,0
Owl,Vulture,1,8,0
Octopus,Camel,0,9,0
Owl,Blood Hawk,0,9,0
Quipper,Scorpion,3,6,0
Owl,Camel,0,9,0
Owl,Giant Crab,0,9,0
Owl,Flying Snake,0,9,0
Quipper,Rat,8,1,0
Quipper,Spider,6,3,0
Quipper,Raven,4,5,0
Quipper,Sea Horse,7,2,0
Quipper,Shrieker,0,9,0
Quipper,Weasel,3,6,0
Quipper,Bandit,0,9,0
Quipper,Vulture,0,9,0
Quipper,Giant Crab,0,9,0
Quipper,Blood Hawk,0,9,0
Quipper,Giant Rat,0,9,0
Rat,Raven,1,8,0
Quipper,Flying Snake,0,9,0
Rat,Scorpion,1,8,0
Rat,Sea Horse,9,0,0
Rat,Shrieker,9,0,0
Rat,Spider,2,7,0
Rat,Vulture,0,9,0
Rat,Bandit,0,9,0
Rat,Weasel,1,8,0
Quipper,Camel,0,9,0
Rat,Blood Hawk,0,9,0
Rat,Giant Crab,0,9,0
Rat,Giant Rat,0,9,0
Rat,Flying Snake,0,9,0
Rat,Giant Weasel,0,9,0
Rat,Camel,0,9,0
Raven,Sea Horse,9,0,0
Raven,Shrieker,9,0,0
Raven,Scorpion,7,2,0
Raven,Vulture,1,8,0
Raven,Bandit,0,9,0
Raven,Spider,6,3,0
Raven,Weasel,5,4,0
Raven,Blood Hawk,0,9,0
Raven,Giant Crab,0,9,0
Scorpion,Sea Horse,9,0,0
Raven,Flying Snake,0,9,0
Raven,Giant Rat,0,9,0
Scorpion,Shrieker,9,0,0
Raven,Giant Weasel,0,9,0
Raven,Guard,0,9,0
Scorpion,Spider,3,6,0
Raven,Camel,0,9,0
Scorpion,Weasel,2,7,0
Scorpion,Bandit,0,9,0
Scorpion,Blood Hawk,0,9,0
Scorpion,Vulture,2,7,0
Scorpion,Flying Snake,0,9,0
Scorpion,Giant Crab,0,9,0
Scorpion,Giant Rat,0,9,0
Scorpion,Guard,0,9,0
Scorpion,Kobold,1,8,0
Scorpion,Giant Weasel,0,9,0
Sea Horse,Shrieker,0,9,0
Scorpion,Camel,0,9,0
Sea Horse,Spider,0,9,0
Sea Horse,Weasel,0,9,0
Sea Horse,Bandit,0,9,0
Sea Horse,Vulture,0,9,0
Sea Horse,Giant Crab,0,9,0
Sea Horse,Blood Hawk,0,9,0
Sea Horse,Giant Rat,0,9,0
Sea Horse,Guard,0,9,0
Sea Horse,Flying Snake,0,9,0
Sea Horse,Kobold,0,9,0
Sea Horse,Manes,0,9,0
Sea Horse,Giant Weasel,0,9,0
Shrieker,Bandit,0,9,0
Shrieker,Spider,0,9,0
Shrieker,Weasel,0,9,0
Sea Horse,Camel,0,9,0
Shrieker,Vulture,0,9,0
Shrieker,Giant Crab,0,9,0
Shrieker,Blood Hawk,0,9,0
Shrieker,Flying Snake,0,9,0
Shrieker,Giant Rat,0,9,0
Shrieker,Kobold,0,9,0
Shrieker,Guard,0,9,0
Shrieker,Manes,0,9,0
Shrieker,Giant Weasel,0,9,0
Spider,Bandit,0,9,0
Shrieker,Mastiff,0,9,0
Spider,Vulture,3,6,0
Spider,Weasel,2,7,0
Spider,Blood Hawk,0,9,0
Shrieker,Camel,0,9,0
Spider,Giant Crab,0,9,0
Spider,Giant Rat,0,9,0
Spider,Flying Snake,0,9,0
Spider,Guard,0,9,0
Spider,Camel,0,9,0
Spider,Kobold,2,7,0
Spider,Manes,0,9,0
Spider,Merfolk,1,8,0
Spider,Mastiff,0,9,0
Spider,Giant Weasel,0,9,0
Vulture,Bandit,1,8,0
Vulture,Weasel,9,0,0
Vulture,Blood Hawk,0,9,0
Vulture,Giant Crab,0,9,0
Vulture,Giant Rat,0,9,0
Vulture,Flying Snake,1,8,0
Vulture,Guard,0,9,0
Vulture,Camel,1,8,0
Vulture,Manes,1,8,0
Vulture,Kobold,1,8,0
Vulture,Giant Weasel,1,8,0
Vulture,Mastiff,4,5,0
Weasel,Bandit,0,9,0
Vulture,Monodrone,4,5,0
Weasel,Blood Hawk,0,9,0
Vulture,Merfolk,2,7,0
Weasel,Camel,0,9,0
Weasel,Giant Crab,0,9,0
Weasel,Giant Rat,0,9,0
Weasel,Flying Snake,0,9,0
Weasel,Guard,0,9,0
Weasel,Manes,0,9,0
Weasel,Kobold,0,9,0
Weasel,Giant Weasel,0,9,0
Weasel,Mastiff,2,7,0
Weasel,Monodrone,0,9,0
Weasel,Merfolk,0,9,0
Weasel,Mule,0,9,0
Bandit,Giant Crab,3,6,0
Bandit,Giant Rat,4,5,0
Bandit,Blood Hawk,5,4,0
Bandit,Flying Snake,3,6,0
Bandit,Camel,3,6,0
Bandit,Giant Weasel,3,6,0
Bandit,Kobold,7,2,0
Bandit,Mastiff,4,5,0
Bandit,Merfolk,2,7,0
Bandit,Guard,1,8,0
Bandit,Monodrone,5,4,0
Bandit,Manes,6,3,0
Bandit,Mule,5,4,0
Blood Hawk,Giant Crab,3,6,0
Blood Hawk,Giant Rat,4,5,0
Blood Hawk,Flying Snake,2,7,0
Blood Hawk,Guard,0,9,0
Blood Hawk,Giant Weasel,3,6,0
Blood Hawk,Kobold,6,3,0
Blood Hawk,Manes,7,2,0
Blood Hawk,Camel,6,3,0
Blood Hawk,Merfolk,2,7,0
Blood Hawk,Monodrone,4,5,0
Blood Hawk,Mastiff,6,3,0
Blood Hawk,Mule,3,6,0
Blood Hawk,Poisonous Snake,2,7,0
Camel,Giant Crab,2,7,0
Camel,Giant Rat,6,3,0
Camel,Flying Snake,2,7,0
Camel,Kobold,8,1,0
Camel,Giant Weasel,5,4,0
Camel,Guard,4,5,0
Camel,Manes,7,2,0
Camel,Monodrone,5,4,0
Camel,Mastiff,7,2,0
Camel,Poisonous Snake,7,2,0
Camel,Mule,5,4,0
Camel,Pony,3,6,0
Camel,Merfolk,2,7,0
Flying Snake,Giant Rat,6,3,0
Flying Snake,Giant Crab,4,5,0
Flying Snake,Giant Weasel,5,4,0
Flying Snake,Guard,5,4,0
Flying Snake,Kobold,6,3,0
Flying Snake,Manes,0,9,0
Flying Snake,Monodrone,7,2,0
Flying Snake,Mule,6,3,0
Flying Snake,Mastiff,7,2,0
Flying Snake,Poisonous Snake,5,4,0
Flying Snake,Slaad Tadpole,7,2,0
Flying Snake,Merfolk,8,1,0
Flying Snake,Pony,3,6,0
Giant Crab,Giant Rat,8,1,0
Giant Crab,Manes,9,0,0
Flying Snake,Stirge,5,4,0
Giant Crab,Guard,5,4,0
Giant Crab,Kobold,9,0,0
Giant Crab,Giant Weasel,8,1,0
Flying Snake,Tribal Warrior,6,3,0
Giant Crab,Mastiff,6,3,0
Giant Crab,Monodrone,9,0,0
Giant Crab,Merfolk,9,0,0
Giant Crab,Mule,7,2,0
Giant Crab,Pony,5,4,0
Giant Crab,Poisonous Snake,8,1,0
Giant Crab,Stirge,8,1,0
Giant Crab,Slaad Tadpole,5,4,0
Giant Crab,Tribal Warrior,8,1,0
Giant Crab,Twig Blight,9,0,0
Giant Rat,Guard,1,8,0
Giant Rat,Kobold,6,3,0
Giant Rat,Giant Weasel,4,5,0
Giant Rat,Monodrone,6,3,0
Giant Rat,Manes,7,2,0
Giant Rat,Merfolk,2,7,0
Giant Rat,Mule,5,4,0
Giant Rat,Poisonous Snake,4,5,0
Giant Rat,Mastiff,6,3,0
Giant Rat,Pony,3,6,0
Giant Rat,Twig Blight,6,3,0
Giant Rat,Stirge,5,4,0
Giant Rat,Slaad Tadpole,5,4,0
Giant Rat,Tribal Warrior,1,8,0
Giant Weasel,Guard,3,6,0
Giant Rat,Aarakocra,3,6,0
Giant Weasel,Kobold,6,3,0
Giant Weasel,Manes,8,1,0
Giant Weasel,Monodrone,6,3,0
Giant Weasel,Mastiff,7,2,0
Giant Weasel,Merfolk,4,5,0
Giant Weasel,Mule,6,3,0
Giant Weasel,Poisonous Snake,7,2,0
Guard,Kobold,8,1,0
Giant Weasel,Twig Blight,5,4,0
Giant Weasel,Tribal Warrior,4,5,0
Giant Weasel,Stirge,6,3,0
Giant Weasel,Pony,3,6,0
Giant Weasel,Slaad Tadpole,5,4,0
Guard,Manes,8,1,0
Giant Weasel,Aarakocra,5,4,0
Guard,Merfolk,7,2,0
Guard,Mastiff,8,1,0
Guard,Monodrone,7,2,0
Guard,Mule,8,1,0
Guard,Poisonous Snake,7,2,0
Giant Weasel,Acolyte,9,0,0
Guard,Pony,7,2,0
Guard,Stirge,4,5,0
Guard,Slaad Tadpole,5,4,0
Guard,Twig Blight,8,1,0
Guard,Tribal Warrior,7,2,0
Guard,Acolyte,9,0,0
Guard,Aarakocra,4,5,0
Kobold,Merfolk,2,7,0
Kobold,Manes,5,4,0
Kobold,Mastiff,3,6,0
Kobold,Monodrone,2,7,0
Kobold,Mule,2,7,0
Guard,Axe Beak,4,5,0
Kobold,Poisonous Snake,2,7,0
Kobold,Pony,0,9,0
Kobold,Tribal Warrior,0,9,0
Kobold,Slaad Tadpole,4,5,0
Kobold,Stirge,2,7,0
Kobold,Twig Blight,3,6,0
Kobold,Blink Dog,1,8,0
Kobold,Aarakocra,0,9,0
Kobold,Acolyte,8,1,0
Manes,Merfolk,3,6,0
Manes,Monodrone,3,6,0
Manes,Mastiff,1,8,0
Kobold,Axe Beak,0,9,0
Manes,Mule,2,7,0
Manes,Poisonous Snake,9,0,0
Manes,Pony,2,7,0
Manes,Tribal Warrior,2,7,0
Manes,Stirge,4,5,0
Manes,Twig Blight,4,5,0
Manes,Slaad Tadpole,2,7,0
Manes,Blink Dog,0,9,0
Manes,Aarakocra,2,7,0
Manes,Boar,1,8,0
Mastiff,Monodrone,6,3,0
Manes,Axe Beak,1,8,0
Mastiff,Mule,3,6,0
Mastiff,Merfolk,5,4,0
Manes,Acolyte,5,4,0
Mastiff,Pony,1,8,0
Mastiff,Poisonous Snake,5,4,0
Mastiff,Slaad Tadpole,2,7,0
Mastiff,Tribal Warrior,2,7,0
Mastiff,Stirge,6,3,0
Mastiff,Twig Blight,4,5,0
Mastiff,Blink Dog,2,7,0
Mastiff,Bullywug,2,7,0
Mastiff,Boar,2,7,0
Mastiff,Aarakocra,1,8,0
Mastiff,Axe Beak,0,9,0
Merfolk,Monodrone,5,4,0
Merfolk,Poisonous Snake,6,3,0
Merfolk,Mule,5,4,0
Merfolk,Stirge,3,6,0
Mastiff,Acolyte,8,1,0
Merfolk,Twig Blight,6,3,0
Merfolk,Tribal Warrior,1,8,0
Merfolk,Slaad Tadpole,5,4,0
Merfolk,Pony,3,6,0
Merfolk,Blink Dog,2,7,0
Merfolk,Bullywug,1,8,0
Merfolk,Acolyte,8,1,0
Monodrone,Poisonous Snake,5,4,0
Monodrone,Mule,4,5,0
Merfolk,Aarakocra,3,6,0
Monodrone,Pony,1,8,0
Merfolk,Boar,3,6,0
Monodrone,Stirge,5,4,0
Monodrone,Tribal Warrior,2,7,0
Monodrone,Slaad Tadpole,4,5,0
Monodrone,Twig Blight,5,4,0
Merfolk,Constrictor Snake,2,7,0
Monodrone,Blink Dog,1,8,0
Monodrone,Bullywug,2,7,0
Monodrone,Boar,2,7,0
Monodrone,Aarakocra,3,6,0
Monodrone,Acolyte,8,1,0
Monodrone,Axe Beak,1,8,0
Merfolk,Axe Beak,1,8,0
Monodrone,Constrictor Snake,0,9,0
Monodrone,Draft Horse,0,9,0
Mule,Poisonous Snake,6,3,0
Mule,Stirge,7,2,0
Mule,Slaad Tadpole,4,5,0
Mule,Pony,2,7,0
Mule,Tribal Warrior,3,6,0
Mule,Twig Blight,3,6,0
Mule,Blink Dog,1,8,0
Mule,Aarakocra,1,8,0
Mule,Boar,2,7,0
Mule,Bullywug,1,8,0
Mule,Axe Beak,0,9,0
Mule,Draft Horse,0,9,0
Mule,Constrictor Snake,1,8,0
Mule,Acolyte,9,0,0
Poisonous Snake,Pony,1,8,0
Poisonous Snake,Tribal Warrior,3,6,0
Poisonous Snake,Slaad Tadpole,4,5,0
Poisonous Snake,Twig Blight,7,2,0
Poisonous Snake,Stirge,6,3,0
Poisonous Snake,Blink Dog,1,8,0
Poisonous Snake,Boar,3,6,0
Poisonous Snake,Bullywug,2,7,0
Poisonous Snake,Aarakocra,1,8,0
Poisonous Snake,Axe Beak,0,9,0
Poisonous Snake,Constrictor Snake,2,7,0
Poisonous Snake,Draft Horse,0,9,0
Poisonous Snake,Acolyte,9,0,0
Poisonous Snake,Duodrone,0,9,0
Pony,Stirge,8,1,0
Pony,Twig Blight,7,2,0
Pony,Slaad Tadpole,8,1,0
Pony,Blink Dog,4,5,0
Pony,Tribal Warrior,4,5,0
Pony,Aarakocra,5,4,0
Pony,Bullywug,3,6,0
Pony,Axe Beak,3,6,0
Pony,Acolyte,9,0,0
Pony,Boar,6,3,0
Pony,Constrictor Snake,5,4,0
Pony,Duodrone,3,6,0
Pony,Draft Horse,0,9,0
Slaad Tadpole,Stirge,5,4,0
Slaad Tadpole,Twig Blight,5,4,0
Slaad Tadpole,Tribal Warrior,2,7,0
Slaad Tadpole,Aarakocra,1,8,0
Slaad Tadpole,Boar,2,7,0
Slaad Tadpole,Bullywug,3,6,0
Slaad Tadpole,Blink Dog,2,7,0
Pony,Elk,3,6,0
Slaad Tadpole,Acolyte,9,0,0
Slaad Tadpole,Axe Beak,1,8,0
Slaad Tadpole,Draft Horse,0,9,0
Slaad Tadpole,Duodrone,1,8,0
Stirge,Tribal Warrior,3,6,0
Slaad Tadpole,Constrictor Snake,2,7,0
Slaad Tadpole,Flying Sword,0,9,0
Stirge,Twig Blight,4,5,0
Stirge,Blink Dog,0,9,0
Slaad Tadpole,Elk,1,8,0
Stirge,Aarakocra,2,7,0
Stirge,Boar,2,7,0
Stirge,Draft Horse,0,9,0
Stirge,Axe Beak,1,8,0
Stirge,Bullywug,3,6,0
Stirge,Acolyte,8,1,0
Stirge,Duodrone,0,9,0
Stirge,Constrictor Snake,0,9,0
Stirge,Giant Badger,2,7,0
Stirge,Flying Sword,0,9,0
Tribal Warrior,Twig Blight,6,3,0
Tribal Warrior,Blink Dog,3,6,0
Tribal Warrior,Acolyte,9,0,0
Tribal Warrior,Aarakocra,6,3,0
Tribal Warrior,Boar,7,2,0
Tribal Warrior,Bullywug,4,5,0
Stirge,Elk,0,9,0
Tribal Warrior,Axe Beak,1,8,0
Tribal Warrior,Duodrone,4,5,0
Tribal Warrior,Constrictor Snake,5,4,0
Tribal Warrior,Draft Horse,3,6,0
Tribal Warrior,Giant Badger,4,5,0
Tribal Warrior,Flying Sword,1,8,0
Twig Blight,Blink Dog,0,9,0
Twig Blight,Boar,3,6,0
Tribal Warrior,Elk,3,6,0
Twig Blight,Aarakocra,3,6,0
Twig Blight,Bullywug,0,9,0
Twig Blight,Axe Beak,0,9,0
Twig Blight,Constrictor Snake,0,9,0
Tribal Warrior,Giant Bat,0,9,0
Twig Blight,Duodrone,0,9,0
Twig Blight,Draft Horse,0,9,0
Twig Blight,Giant Badger,0,9,0
Twig Blight,Acolyte,6,3,0
Twig Blight,Flying Sword,0,9,0
Twig Blight,Giant Centipede,0,9,0
Twig Blight,Giant Bat,0,9,0
Aarakocra,Blink Dog,2,7,0
Twig Blight,Elk,0,9,0
Aarakocra,Boar,6,3,0
Aarakocra,Bullywug,3,6,0
Aarakocra,Axe Beak,2,7,0
Aarakocra,Acolyte,9,0,0
Aarakocra,Constrictor Snake,4,5,0
Aarakocra,Draft Horse,0,9,0
Aarakocra,Duodrone,1,8,0
Aarakocra,Flying Sword,3,6,0
Aarakocra,Giant Badger,2,7,0
Aarakocra,Elk,4,5,0
Aarakocra,Giant Frog,5,4,0
Aarakocra,Giant Centipede,2,7,0
Acolyte,Blink Dog,0,9,0
Aarakocra,Giant Bat,1,8,0
Acolyte,Bullywug,0,9,0
Acolyte,Boar,0,9,0
Acolyte,Duodrone,0,9,0
Acolyte,Draft Horse,0,9,0
Acolyte,Constrictor Snake,0,9,0
Acolyte,Axe Beak,0,9,0
Acolyte,Giant Badger,0,9,0
Acolyte,Flying Sword,0,9,0
Acolyte,Giant Centipede,0,9,0
Axe Beak,Blink Dog,8,1,0
Acolyte,Giant Frog,0,9,0
Axe Beak,Boar,8,1,0
Acolyte,Giant Lizard,0,9,0
Axe Beak,Bullywug,4,5,0
Axe Beak,Constrictor Snake,6,3,0
Acolyte,Giant Bat,0,9,0
Acolyte,Elk,0,9,0
Axe Beak,Duodrone,4,5,0
Axe Beak,Draft Horse,3,6,0
Axe Beak,Giant Badger,4,5,0
